Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1705	5.e-003	8.6736e-019	6.e-002	
1836	-5.e-003	7.5e-003	6.7812e-002	
1854	-5.e-003	-2.6021e-018	6.e-002	
1864	-5.e-003	-7.5e-003	6.7812e-002	
1924	-5.e-003	8.2455e-005	4.1505e-002	
1956	0.	1.25e-002	0.11	
1960	0.	-1.25e-002	0.11	
1980	5.e-003	7.5e-003	7.625e-002	
2001	5.e-003	-2.5e-003	5.5556e-003	
2005	5.e-003	-2.5e-003	2.7778e-002	
2019	5.e-003	-1.25e-002	7.6667e-002	
2032	-5.e-003	-2.5e-003	0.	
2050	-5.e-003	7.5e-003	9.3125e-002	
2070	-5.e-003	-1.25e-002	9.3333e-002	
2096	-5.e-003	2.5e-003	1.6667e-002	
