Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	-1.2691e-002
3	-4.8966e-002	0.1015	-2.0282e-002	-8.4508e-003
4	-4.4068e-002	0.1015	-2.9445e-002	2.2346e-002
5	-3.7477e-002	0.1015	-3.7477e-002	6.7041e-002
6	-2.9445e-002	0.1015	-4.4068e-002	0.10428
7	-2.0282e-002	0.1015	-4.8966e-002	0.11826
8	-1.034e-002	0.1015	-5.1982e-002	0.11529
9	-2.6782e-017	0.1015	-5.3e-002	0.11182
10	1.034e-002	0.1015	-5.1982e-002	0.11503
11	2.0282e-002	0.1015	-4.8966e-002	0.11798
12	2.9445e-002	0.1015	-4.4068e-002	0.10457
13	3.7477e-002	0.1015	-3.7477e-002	6.585e-002
14	4.4068e-002	0.1015	-2.9445e-002	1.3979e-002
15	4.8966e-002	0.1015	-2.0282e-002	-2.089e-002
16	5.1982e-002	0.1015	-1.034e-002	-1.765e-002
17	5.3e-002	0.1015	-3.0777e-017	7.9952e-005
18	5.1982e-002	0.1015	1.034e-002	-1.9896e-002
19	4.8966e-002	0.1015	2.0282e-002	-2.5296e-002
20	4.4068e-002	0.1015	2.9445e-002	7.3978e-003
21	3.7477e-002	0.1015	3.7477e-002	5.8229e-002
22	2.9445e-002	0.1015	4.4068e-002	9.7144e-002
23	2.0282e-002	0.1015	4.8966e-002	0.11012
24	1.034e-002	0.1015	5.1982e-002	0.10778
25	3.3273e-017	0.1015	5.3e-002	0.10465
26	-1.034e-002	0.1015	5.1982e-002	0.10751
27	-2.0282e-002	0.1015	4.8966e-002	0.11064
28	-2.9445e-002	0.1015	4.4068e-002	9.9795e-002
29	-3.7477e-002	0.1015	3.7477e-002	6.1227e-002
30	-4.4068e-002	0.1015	2.9445e-002	1.0121e-002
31	-4.8966e-002	0.1015	2.0282e-002	-2.3611e-002
32	-5.1982e-002	0.1015	1.034e-002	-2.1116e-002
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	-0.30031
38	-8.9266e-003	8.9266e-003	-5.2243e-002	-0.25042
39	-1.7721e-002	1.7721e-002	-4.995e-002	-0.20256
40	-2.6227e-002	2.6227e-002	-4.6056e-002	-0.1546
41	-3.4241e-002	3.4241e-002	-4.0455e-002	-0.107
42	-4.1462e-002	4.1462e-002	-3.3014e-002	-6.5816e-002
43	-4.7439e-002	4.7439e-002	-2.3634e-002	-3.3853e-002
44	-5.1524e-002	5.1524e-002	-1.2423e-002	-1.0958e-002
45	0.	0.	5.3e-002	-0.31128
46	9.5185e-003	9.5185e-003	5.2138e-002	-0.2569
47	1.8875e-002	1.8875e-002	4.9525e-002	-0.2079
48	2.7877e-002	2.7877e-002	4.5076e-002	-0.1566
49	3.6259e-002	3.6259e-002	3.8656e-002	-0.10556
50	4.3621e-002	4.3621e-002	3.0104e-002	-6.2264e-002
51	4.9342e-002	4.9342e-002	1.9349e-002	-3.0278e-002
52	5.2573e-002	5.2573e-002	6.713e-003	-7.7138e-003
53	5.2573e-002	5.2573e-002	-6.713e-003	-6.7112e-003
54	4.9342e-002	4.9342e-002	-1.9349e-002	-2.4511e-002
55	4.3621e-002	4.3621e-002	-3.0104e-002	-5.5408e-002
56	3.6259e-002	3.6259e-002	-3.8656e-002	-9.5998e-002
57	2.7877e-002	2.7877e-002	-4.5076e-002	-0.14537
58	1.8875e-002	1.8875e-002	-4.9525e-002	-0.19697
59	9.5185e-003	9.5185e-003	-5.2138e-002	-0.24579
60	-5.1524e-002	5.1524e-002	1.2423e-002	-1.4466e-002
61	-4.7439e-002	4.7439e-002	2.3634e-002	-3.9414e-002
62	-4.1462e-002	4.1462e-002	3.3014e-002	-7.4296e-002
63	-3.4241e-002	3.4241e-002	4.0455e-002	-0.11656
64	-2.6227e-002	2.6227e-002	4.6056e-002	-0.16578
65	-1.7721e-002	1.7721e-002	4.995e-002	-0.2138
66	-8.9266e-003	8.9266e-003	5.2243e-002	-0.26039
67	0.104	-5.65e-002	0.	-0.89417
68	0.104	-5.5538e-002	-1.0382e-002	-0.87729
69	0.104	-5.2685e-002	-2.041e-002	-0.83417
70	0.104	-4.8037e-002	-2.9743e-002	-0.76676
71	0.104	-4.1754e-002	-3.8064e-002	-0.68221
72	0.104	-3.4049e-002	-4.5088e-002	-0.58896
73	0.104	-2.5184e-002	-5.0577e-002	-0.49349
74	0.104	-1.5462e-002	-5.4343e-002	-0.40335
75	0.104	-5.2132e-003	-5.6259e-002	-0.32108
76	0.104	5.2132e-003	-5.6259e-002	-0.24947
77	0.104	1.5462e-002	-5.4343e-002	-0.18779
78	0.104	2.5184e-002	-5.0577e-002	-0.13621
79	0.104	3.4049e-002	-4.5088e-002	-9.3704e-002
80	0.104	4.1754e-002	-3.8064e-002	-5.9421e-002
81	0.104	4.8037e-002	-2.9743e-002	-3.2894e-002
82	0.104	5.2685e-002	-2.041e-002	-1.4013e-002
83	0.104	5.5538e-002	-1.0382e-002	-3.049e-003
84	0.104	5.65e-002	3.4891e-018	-5.1536e-004
85	0.104	5.5538e-002	1.0382e-002	-6.3354e-003
86	0.104	5.2685e-002	2.041e-002	-1.9517e-002
87	0.104	4.8037e-002	2.9743e-002	-4.0643e-002
88	0.104	4.1754e-002	3.8064e-002	-6.8868e-002
89	0.104	3.4049e-002	4.5088e-002	-0.10408
90	0.104	2.5184e-002	5.0577e-002	-0.14773
91	0.104	1.5462e-002	5.4343e-002	-0.19977
92	0.104	5.2132e-003	5.6259e-002	-0.26157
93	0.104	-5.2132e-003	5.6259e-002	-0.33327
94	0.104	-1.5462e-002	5.4343e-002	-0.41499
95	0.104	-2.5184e-002	5.0577e-002	-0.50414
96	0.104	-3.4049e-002	4.5088e-002	-0.59775
97	0.104	-4.1754e-002	3.8064e-002	-0.68988
98	0.104	-4.8037e-002	2.9743e-002	-0.77253
99	0.104	-5.2685e-002	2.041e-002	-0.8383
100	0.104	-5.5538e-002	1.0382e-002	-0.88006
101	-0.104	-5.65e-002	0.	-0.89377
102	9.0133e-002	-5.65e-002	0.	-0.89093
103	7.6267e-002	-5.65e-002	0.	-0.89161
104	6.24e-002	-5.65e-002	0.	-0.89195
105	4.8533e-002	-5.65e-002	0.	-0.89311
106	3.4667e-002	-5.65e-002	0.	-0.89365
107	2.08e-002	-5.65e-002	0.	-0.8943
108	6.9333e-003	-5.65e-002	0.	-0.89453
109	-6.9333e-003	-5.65e-002	0.	-0.89448
110	-2.08e-002	-5.65e-002	0.	-0.89444
111	-3.4667e-002	-5.65e-002	0.	-0.89362
112	-4.8533e-002	-5.65e-002	0.	-0.89306
113	-6.24e-002	-5.65e-002	0.	-0.8923
114	-7.6267e-002	-5.65e-002	0.	-0.89148
115	-9.0133e-002	-5.65e-002	0.	-0.89079
116	-0.104	-5.5538e-002	1.0382e-002	-0.87974
117	-0.104	-5.2685e-002	2.041e-002	-0.83788
118	-0.104	-4.8037e-002	2.9743e-002	-0.77232
119	-0.104	-4.1754e-002	3.8064e-002	-0.68972
120	-0.104	-3.4049e-002	4.5088e-002	-0.5982
121	-0.104	-2.5184e-002	5.0577e-002	-0.50433
122	-0.104	-1.5462e-002	5.4343e-002	-0.41511
123	-0.104	-5.2132e-003	5.6259e-002	-0.3332
124	-0.104	5.2132e-003	5.6259e-002	-0.26144
125	-0.104	1.5462e-002	5.4343e-002	-0.19966
126	-0.104	2.5184e-002	5.0577e-002	-0.14731
127	-0.104	3.4049e-002	4.5088e-002	-0.10395
128	-0.104	4.1754e-002	3.8064e-002	-6.7979e-002
129	-0.104	4.8037e-002	2.9743e-002	-3.9351e-002
130	-0.104	5.2685e-002	2.041e-002	-1.7937e-002
131	-0.104	5.5538e-002	1.0382e-002	-4.4267e-003
132	-0.104	5.65e-002	-3.4891e-018	1.1192e-003
133	-0.104	5.5538e-002	-1.0382e-002	-1.925e-003
134	-0.104	5.2685e-002	-2.041e-002	-1.338e-002
135	-0.104	4.8037e-002	-2.9743e-002	-3.2465e-002
136	-0.104	4.1754e-002	-3.8064e-002	-5.8962e-002
137	-0.104	3.4049e-002	-4.5088e-002	-9.3185e-002
138	-0.104	2.5184e-002	-5.0577e-002	-0.13585
139	-0.104	1.5462e-002	-5.4343e-002	-0.18739
140	-0.104	5.2132e-003	-5.6259e-002	-0.24901
141	-0.104	-5.2132e-003	-5.6259e-002	-0.32112
142	-0.104	-1.5462e-002	-5.4343e-002	-0.40315
143	-0.104	-2.5184e-002	-5.0577e-002	-0.49399
144	-0.104	-3.4049e-002	-4.5088e-002	-0.58908
145	-0.104	-4.1754e-002	-3.8064e-002	-0.68295
146	-0.104	-4.8037e-002	-2.9743e-002	-0.76688
147	-0.104	-5.2685e-002	-2.041e-002	-0.83441
148	-0.104	-5.5538e-002	-1.0382e-002	-0.87747
149	0.	0.	5.65e-002	-0.26272
150	0.	0.	-5.65e-002	-0.25141
151	-9.5161e-003	9.5161e-003	5.5693e-002	-0.21416
152	-1.8891e-002	1.8891e-002	5.3248e-002	-0.18228
153	-2.7959e-002	2.7959e-002	4.9097e-002	-0.14534
154	-3.6502e-002	3.6502e-002	4.3126e-002	-0.10256
155	-4.42e-002	4.42e-002	3.5194e-002	-6.2192e-002
156	-5.0572e-002	5.0572e-002	2.5194e-002	-3.1295e-002
157	-5.4926e-002	5.4926e-002	1.3243e-002	-1.0096e-002
158	-5.65e-002	5.65e-002	-6.9389e-018	9.5354e-004
159	-5.4926e-002	5.4926e-002	-1.3243e-002	-6.839e-003
160	-5.0572e-002	5.0572e-002	-2.5194e-002	-2.5292e-002
161	-4.42e-002	4.42e-002	-3.5194e-002	-5.3257e-002
162	-3.6502e-002	3.6502e-002	-4.3126e-002	-9.1874e-002
163	-2.7959e-002	2.7959e-002	-4.9097e-002	-0.13477
164	-1.8891e-002	1.8891e-002	-5.3248e-002	-0.1715
165	-9.5161e-003	9.5161e-003	-5.5693e-002	-0.202
166	5.65e-002	5.65e-002	0.	0.
167	9.5161e-003	9.5161e-003	-5.5693e-002	-0.20328
168	1.8891e-002	1.8891e-002	-5.3248e-002	-0.17125
169	2.7959e-002	2.7959e-002	-4.9097e-002	-0.13532
170	3.6502e-002	3.6502e-002	-4.3126e-002	-9.2616e-002
171	4.42e-002	4.42e-002	-3.5194e-002	-5.467e-002
172	5.0572e-002	5.0572e-002	-2.5194e-002	-2.6407e-002
173	5.4926e-002	5.4926e-002	-1.3243e-002	-7.7336e-003
174	5.4926e-002	5.4926e-002	1.3243e-002	-1.1679e-002
175	5.0572e-002	5.0572e-002	2.5194e-002	-3.2747e-002
176	4.42e-002	4.42e-002	3.5194e-002	-6.3296e-002
177	3.6502e-002	3.6502e-002	4.3126e-002	-0.10235
178	2.7959e-002	2.7959e-002	4.9097e-002	-0.14634
179	1.8891e-002	1.8891e-002	5.3248e-002	-0.18286
180	9.5161e-003	9.5161e-003	5.5693e-002	-0.21442
181	0.104	0.	5.3e-002	-0.31696
182	0.104	1.034e-002	5.1982e-002	-0.24649
183	0.104	2.0282e-002	4.8966e-002	-0.1855
184	0.104	2.9445e-002	4.4068e-002	-0.13399
185	0.104	3.7477e-002	3.7477e-002	-9.1169e-002
186	0.104	4.4068e-002	2.9445e-002	-5.8217e-002
187	0.104	4.8966e-002	2.0282e-002	-3.4112e-002
188	0.104	5.1982e-002	1.034e-002	-1.8658e-002
189	0.104	5.3e-002	2.6782e-017	-1.2843e-002
190	0.104	5.1982e-002	-1.034e-002	-1.6299e-002
191	0.104	4.8966e-002	-2.0282e-002	-2.9229e-002
192	0.104	4.4068e-002	-2.9445e-002	-5.1057e-002
193	0.104	3.7477e-002	-3.7477e-002	-8.259e-002
194	0.104	2.9445e-002	-4.4068e-002	-0.12359
195	0.104	2.0282e-002	-4.8966e-002	-0.17461
196	0.104	1.034e-002	-5.1982e-002	-0.2353
197	0.104	3.0777e-017	-5.3e-002	-0.30596
198	0.104	-1.034e-002	-5.1982e-002	-0.38495
199	0.104	-2.0282e-002	-4.8966e-002	-0.47092
200	0.104	-2.9445e-002	-4.4068e-002	-0.55932
201	0.104	-3.7477e-002	-3.7477e-002	-0.64533
202	0.104	-4.4068e-002	-2.9445e-002	-0.72234
203	0.104	-4.8966e-002	-2.0282e-002	-0.78398
204	0.104	-5.1982e-002	-1.034e-002	-0.82398
205	0.104	-5.3e-002	-3.3273e-017	-0.83842
206	0.104	-5.1982e-002	1.034e-002	-0.82604
207	0.104	-4.8966e-002	2.0282e-002	-0.78805
208	0.104	-4.4068e-002	2.9445e-002	-0.72862
209	0.104	-3.7477e-002	3.7477e-002	-0.65277
210	0.104	-2.9445e-002	4.4068e-002	-0.56823
211	0.104	-2.0282e-002	4.8966e-002	-0.48064
212	0.104	-1.034e-002	5.1982e-002	-0.39582
213	9.1e-002	0.	5.3e-002	-0.31433
214	7.8e-002	0.	5.3e-002	-0.31358
215	6.5e-002	0.	5.3e-002	-0.31231
216	5.2e-002	0.	5.3e-002	-0.31099
217	3.9e-002	0.	5.3e-002	-0.30998
218	2.6e-002	0.	5.3e-002	-0.30848
219	1.3e-002	0.	5.3e-002	-0.30906
220	-0.104	0.	5.3e-002	-0.31691
221	-1.3e-002	0.	5.3e-002	-0.30961
222	-2.6e-002	0.	5.3e-002	-0.30855
223	-3.9e-002	0.	5.3e-002	-0.30949
224	-5.2e-002	0.	5.3e-002	-0.311
225	-6.5e-002	0.	5.3e-002	-0.31244
