Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	-5.3e-002	0.1015	0.	0.
2	-5.1982e-002	0.1015	-1.034e-002	7.3481e-003
3	-4.8966e-002	0.1015	-2.0282e-002	1.375e-002
4	-4.4068e-002	0.1015	-2.9445e-002	2.1008e-002
5	-3.7477e-002	0.1015	-3.7477e-002	2.6135e-002
6	-2.9445e-002	0.1015	-4.4068e-002	2.8647e-002
7	-2.0282e-002	0.1015	-4.8966e-002	2.7437e-002
8	-1.034e-002	0.1015	-5.1982e-002	2.2213e-002
9	-2.6782e-017	0.1015	-5.3e-002	1.4597e-002
10	1.034e-002	0.1015	-5.1982e-002	5.9338e-003
11	2.0282e-002	0.1015	-4.8966e-002	-1.4594e-003
12	2.9445e-002	0.1015	-4.4068e-002	-6.2458e-003
13	3.7477e-002	0.1015	-3.7477e-002	-8.469e-003
14	4.4068e-002	0.1015	-2.9445e-002	-7.9666e-003
15	4.8966e-002	0.1015	-2.0282e-002	-5.899e-003
16	5.1982e-002	0.1015	-1.034e-002	-3.2407e-003
17	5.3e-002	0.1015	-3.0777e-017	-3.6523e-005
18	5.1982e-002	0.1015	1.034e-002	3.1265e-003
19	4.8966e-002	0.1015	2.0282e-002	5.4233e-003
20	4.4068e-002	0.1015	2.9445e-002	7.1629e-003
21	3.7477e-002	0.1015	3.7477e-002	7.1238e-003
22	2.9445e-002	0.1015	4.4068e-002	5.3265e-003
23	2.0282e-002	0.1015	4.8966e-002	6.5934e-004
24	1.034e-002	0.1015	5.1982e-002	-6.725e-003
25	3.3273e-017	0.1015	5.3e-002	-1.4721e-002
26	-1.034e-002	0.1015	5.1982e-002	-2.1896e-002
27	-2.0282e-002	0.1015	4.8966e-002	-2.6648e-002
28	-2.9445e-002	0.1015	4.4068e-002	-2.7489e-002
29	-3.7477e-002	0.1015	3.7477e-002	-2.5328e-002
30	-4.4068e-002	0.1015	2.9445e-002	-2.0375e-002
31	-4.8966e-002	0.1015	2.0282e-002	-1.4049e-002
32	-5.1982e-002	0.1015	1.034e-002	-7.827e-003
33	-5.3e-002	5.3e-002	0.	0.
34	-5.3e-002	8.9375e-002	0.	0.
35	-5.3e-002	7.725e-002	0.	0.
36	-5.3e-002	6.5125e-002	0.	0.
37	0.	0.	-5.3e-002	1.4176e-002
38	-8.9266e-003	8.9266e-003	-5.2243e-002	1.8427e-002
39	-1.7721e-002	1.7721e-002	-4.995e-002	2.9438e-002
40	-2.6227e-002	2.6227e-002	-4.6056e-002	3.9308e-002
41	-3.4241e-002	3.4241e-002	-4.0455e-002	4.026e-002
42	-4.1462e-002	4.1462e-002	-3.3014e-002	3.4241e-002
43	-4.7439e-002	4.7439e-002	-2.3634e-002	2.6404e-002
44	-5.1524e-002	5.1524e-002	-1.2423e-002	1.4256e-002
45	0.	0.	5.3e-002	-1.3822e-002
46	9.5185e-003	9.5185e-003	5.2138e-002	-1.0411e-002
47	1.8875e-002	1.8875e-002	4.9525e-002	2.587e-003
48	2.7877e-002	2.7877e-002	4.5076e-002	1.5053e-002
49	3.6259e-002	3.6259e-002	3.8656e-002	1.9297e-002
50	4.3621e-002	4.3621e-002	3.0104e-002	1.7149e-002
51	4.9342e-002	4.9342e-002	1.9349e-002	1.2891e-002
52	5.2573e-002	5.2573e-002	6.713e-003	3.7785e-003
53	5.2573e-002	5.2573e-002	-6.713e-003	-4.2739e-003
54	4.9342e-002	4.9342e-002	-1.9349e-002	-1.2322e-002
55	4.3621e-002	4.3621e-002	-3.0104e-002	-1.8469e-002
56	3.6259e-002	3.6259e-002	-3.8656e-002	-2.0729e-002
57	2.7877e-002	2.7877e-002	-4.5076e-002	-1.6791e-002
58	1.8875e-002	1.8875e-002	-4.9525e-002	-4.6638e-003
59	9.5185e-003	9.5185e-003	-5.2138e-002	9.8863e-003
60	-5.1524e-002	5.1524e-002	1.2423e-002	-1.4395e-002
61	-4.7439e-002	4.7439e-002	2.3634e-002	-2.5757e-002
62	-4.1462e-002	4.1462e-002	3.3014e-002	-3.4188e-002
63	-3.4241e-002	3.4241e-002	4.0455e-002	-3.9169e-002
64	-2.6227e-002	2.6227e-002	4.6056e-002	-3.7837e-002
65	-1.7721e-002	1.7721e-002	4.995e-002	-2.7947e-002
66	-8.9266e-003	8.9266e-003	5.2243e-002	-1.7661e-002
67	0.104	-5.65e-002	0.	-1.1534e-002
68	0.104	-5.5538e-002	-1.0382e-002	6.4357e-004
69	0.104	-5.2685e-002	-2.041e-002	2.3244e-002
70	0.104	-4.8037e-002	-2.9743e-002	6.2652e-002
71	0.104	-4.1754e-002	-3.8064e-002	0.11683
72	0.104	-3.4049e-002	-4.5088e-002	0.17548
73	0.104	-2.5184e-002	-5.0577e-002	0.2244
74	0.104	-1.5462e-002	-5.4343e-002	0.25215
75	0.104	-5.2132e-003	-5.6259e-002	0.25962
76	0.104	5.2132e-003	-5.6259e-002	0.25601
77	0.104	1.5462e-002	-5.4343e-002	0.25523
78	0.104	2.5184e-002	-5.0577e-002	0.26591
79	0.104	3.4049e-002	-4.5088e-002	0.28641
80	0.104	4.1754e-002	-3.8064e-002	0.30171
81	0.104	4.8037e-002	-2.9743e-002	0.28625
82	0.104	5.2685e-002	-2.041e-002	0.22449
83	0.104	5.5538e-002	-1.0382e-002	0.12351
84	0.104	5.65e-002	3.4891e-018	-5.2671e-003
85	0.104	5.5538e-002	1.0382e-002	-0.13622
86	0.104	5.2685e-002	2.041e-002	-0.23696
87	0.104	4.8037e-002	2.9743e-002	-0.29466
88	0.104	4.1754e-002	3.8064e-002	-0.30745
89	0.104	3.4049e-002	4.5088e-002	-0.29376
90	0.104	2.5184e-002	5.0577e-002	-0.2757
91	0.104	1.5462e-002	5.4343e-002	-0.26677
92	0.104	5.2132e-003	5.6259e-002	-0.26838
93	0.104	-5.2132e-003	5.6259e-002	-0.27166
94	0.104	-1.5462e-002	5.4343e-002	-0.26367
