Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	4.0839e-004	-8.8292e-003	7.2962e-002	0.64035
2	3.6111e-003	9.5833e-003	7.2546e-002	-0.69768
3	-7.8479e-004	1.1716e-002	7.1911e-002	-0.85986
4	2.6471e-003	1.3235e-003	4.4089e-002	-8.5273e-002
5	2.0404e-003	-3.8603e-004	4.306e-002	2.4567e-002
6	5.e-003	9.7421e-004	4.3062e-002	-6.1687e-002
7	5.e-003	1.25e-003	4.4444e-002	-8.0856e-002
8	2.7328e-003	-1.3748e-004	4.4491e-002	8.9971e-003
9	5.e-003	-3.7222e-004	4.3296e-002	2.3816e-002
10	-2.9167e-003	-2.5e-003	4.213e-002	0.1565
11	-5.342e-004	-1.3987e-003	4.3307e-002	8.9153e-002
12	-2.6376e-003	-1.2984e-003	4.417e-002	8.3807e-002
13	-2.4167e-003	-2.5e-003	4.4097e-002	0.16131
14	0.	-2.5e-003	4.3056e-002	0.1588
15	-5.0396e-006	-1.2172e-003	4.4662e-002	7.9169e-002
16	3.2129e-003	-1.1878e-003	4.4141e-002	7.6741e-002
17	2.6532e-003	-2.5e-003	4.2412e-002	0.15731
18	5.e-003	-1.5303e-003	4.3063e-002	9.7243e-002
19	5.e-003	-1.25e-003	4.4444e-002	8.11e-002
20	2.9824e-003	-2.5e-003	4.4314e-002	0.16194
21	5.e-003	-2.5e-003	4.3056e-002	0.15892
22	2.2048e-003	-1.2821e-003	4.2699e-002	8.1013e-002
23	7.3396e-004	3.6384e-004	4.2582e-002	-2.2883e-002
24	2.7234e-003	1.1231e-003	4.2387e-002	-7.0474e-002
25	-3.8059e-003	-1.2145e-003	4.1584e-002	7.5272e-002
26	-8.6259e-004	-3.2888e-004	4.2701e-002	2.0767e-002
27	-2.0926e-003	2.5242e-004	4.2998e-002	-1.6014e-002
28	-5.e-003	-1.25e-003	4.3056e-002	7.9247e-002
29	2.5e-003	2.5e-003	4.3056e-002	-0.15874
30	4.8042e-004	1.3838e-003	4.3414e-002	-8.8295e-002
31	-5.e-003	2.5e-003	4.3056e-002	-0.15886
32	-2.2142e-003	2.5e-003	4.3049e-002	-0.1588
33	-2.9059e-003	2.5e-003	4.4433e-002	-0.16217
34	-5.e-003	1.25e-003	4.4444e-002	-8.1042e-002
35	-5.e-003	1.5212e-003	4.307e-002	-9.6619e-002
36	-3.1388e-003	1.155e-003	4.445e-002	-7.4903e-002
37	2.371e-003	2.5e-003	4.423e-002	-0.16157
38	0.	2.5e-003	4.3056e-002	-0.15874
39	9.4076e-005	1.1782e-003	4.4674e-002	-7.6588e-002
40	-5.e-003	3.0595e-004	4.3302e-002	-1.9542e-002
41	-2.6935e-003	1.0836e-004	4.4556e-002	-7.0581e-003
42	-5.e-003	-1.25e-003	4.4444e-002	8.0915e-002
43	-2.7163e-003	1.4038e-003	4.2802e-002	-8.8798e-002
44	3.7426e-003	1.1205e-002	6.1051e-002	-0.81816
45	3.7711e-003	9.4944e-003	6.1385e-002	-0.69169
46	5.e-003	1.0645e-002	6.0635e-002	-0.77662
47	5.e-003	1.1044e-002	6.1538e-002	-0.80635
48	3.7398e-003	9.8515e-003	6.2659e-002	-0.7182
49	5.e-003	9.5683e-003	6.1751e-002	-0.6971
50	8.934e-004	7.4039e-003	6.4025e-002	-0.53645
51	2.5533e-003	8.3817e-003	6.2681e-002	-0.60935
52	1.25e-003	8.75e-003	6.375e-002	-0.63648
